term,definition,register_id,legislation_reference
'1%' or '1%er',a term used by OMCGs to refer to the theory that only 1% of motorcycle riders operate outside the law. A mark that consists of 1% or 1%er is an insignia of an organisation if the mark relates to that organisation. Also refer to the general VPM Dictionary for definitions and acronyms.,41,
Critical incident,"in accordance with s. 82, Victoria Police Act 2013, critical incident means: an incident involving the discharge of a firearm by a member of Victoria Police personnel while the member is on duty an incident involving a member of Victoria Police personnel while the member is on duty which: results in the death of, or serious injury to, a person also involves any one or more of the following: the use of force by the member the use of a motor vehicle by the member (including as a passenger) in the course of the member's duty the death of, or serious injury to, a person while that person is in the custody of the member.",42,Victoria Police Act 2013
Death or serious injury/illness (DSII) incident,"a DSII incident includes: death or serious injury/illness involving: the discharge of a firearm or use of force by an employee the use of a vehicle by an employee in the course of their duties the person being in the care or custody of an employee attempts to bring a person in custody (e.g. sieges, suicides) an escape or attempted escape from policy custody any police actions or inactions during other policing activities or operations. death or serious injury/illness before or following police contact where there is an indication or could be a perception that police actions or inactions may have caused or contributed to the death or injury/illness.",42,
Senior investigating officer (SIO),an officer of the rank of inspector or above from the unit responsible for the investigation.,42,
Senior oversighting officer (SOO),an officer of the rank of inspector or above from the unit responsible for oversight of the investigation.,42,
Serious illness,"an illness that requires the person to be admitted to hospital while the person was in the care or custody of an employee. This does not include where the person is admitted to hospital solely under s. 242, the Mental Health and Wellbeing Act 2022.",42,Mental Health and Wellbeing Act 2022
Serious injury,"an injury that is life threatening, likely to result in permanent impairment or likely to require long-term rehabilitation.",42,
Criminal proceeding,court proceedings where criminal charges are filed (including traffic offences).,44,
Disclosure,"applies in criminal proceedings to police and prosecuting agencies who have a duty to the court to provide all material that is relevant, or potentially relevant, to an accused person.",44,
Disclosure Certificate,an acknowledgement by the relevant officer that they understand their obligations under both the Act and common law and must be completed where:,44,Criminal Procedure Act 2009
a full brief is served,Full Brief Disclosure Certificate (S.41A Criminal Procedure Act 2009) [Form 1517],44,Criminal Procedure Act 2009
a hand-up brief is served,Hand-Up Brief Disclosure Certificate (S.110A Criminal Procedure Act 2009) [Form1518].,44,Criminal Procedure Act 2009
Disclosure task,"used to record the location of an electronic list of all stored information, materials and associated evidence.",44,
Exculpatory evidence,evidence that may assist or exonerate an accused person.,44,
Investigation,"an objective assessment of an act, omission, situation or event with a view to determining whether any breach of law is involved or to assign responsibility for the occurrence.",44,
Material,"information, documents or things (including evidence, recordings, electronic files and property).",44,
Material relied upon,items utilised to to prove a charge or an element of a charge.,44,
Unused material,items not relied upon to prove a charge or element of a charge.,44,
Withheld material,"items subject to a lawful exception e.g., claim of Public Interest Immunity.",44,
Material that is not relevant,items that are not relevant to an issue in the case or to the credibility of a prosecution witness. Prosecution -Victoria Police and any agency prosecuting charges initiated by and/or on behalf of Victoria Police including the Office of Public Prosecutions (OPP) and the Commonwealth Director of Public Prosecutions (CDPP).,44,
Relevant officer,"the informant or, if the informant did not investigate the offence that is subject of the proceeding, the law enforcement officer who prepared the full or hand-up brief (as defined in the Act). Also refer to the general VPM Dictionary for definitions and acronyms.",44,Criminal Procedure Act 2009
Aboriginal person,"means a person who satisfies all of the below: is descended from an Aboriginal or Torres Strait Islander identifies as an Aboriginal or Torres Strait Islander is accepted as an Aboriginal or Torres Strait Islander by an Aboriginal or Torres Strait Islander Community (s.3, Bail Act).",45,
Note,members must not question a person's Aboriginality or require the person to provide evidence of their cultural identity. Aboriginal Community Controlled Organisations have processes for determining a person's Aboriginality.,45,
Bail decision maker,"is any of the following empowered under the Bail Act to grant, extend or revoke bail, or vary the amount/conditions of bail (s.3): a court a bail justice a police officer a sheriff or a person authorised under s.115(5), Fines Reform Act 2014.",45,Fines Reform Act 2014
Police custody officer (PCO),"for the purpose of this policy, a PCO refers to both supervising police custody officers and police custody officers.",45,
Terrorism record,"as defined in s.3AAB, Bail Act, a person has a terrorism record if the person has been convicted of a terrorism or foreign incursion offence or is or has been subject to a terrorism related order (see further definition in s.3, Bail Act).",45,
Vulnerable adult,"as defined by s.3AAAA, Bail Act is a person of 18 years of age or more and has a cognitive, physical or mental impairment that causes the person to have a difficulty with any of the following: understanding their rights making a decision communicating a decision.",45,
Note,a bail decision maker may reasonably suspect that a person is a vulnerable adult even if the bail decision maker cannot identify the particular impairment. Also refer to the VPM Dictionary for definitions and acronyms.,45,
Adult,a person aged 18 years and over.,48,
Child,a person under the age of 18 years but of or above the age of 12 years.,48,
Children's Court Youth Diversion Service,an opportunity for a child appearing before the criminal division of the Children's Court to complete a diversion plan.,48,
Criminal Justice Diversion Program,an opportunity for an accused adult appearing before the criminal division of the Magistrates' Court to complete a diversion plan.,48,
Qualified prosecutor,a prosecutor who has successfully completed the Graduate Certificate in Police Prosecution.,48,
Infringement offence,"an offence which may be the subject of an infringement notice under any Act or statutory rule (s.3(1), Infringements Act 2006).",49,Infringements Act 2006
Emergency,"the EM Act 2013 defines an emergency as: an emergency due to the actual or imminent occurrence of an event which in any way endangers or threatens to endanger the safety or health of any person in Victoria or which destroys or damages, or threatens to destroy or damage, any property in Victoria or endangers or threatens to endanger the environment or an element of the environment in Victoria, including, without limiting the generality of the foregoing - an earthquake, flood, wind-storm or other natural event; and a fire; and an explosion; and a road accident or any other accident; and a plague or an epidemic or contamination; and a warlike act, or act of terrorism, whether directed at Victoria or a part of Victoria or at any other State or Territory of the Commonwealth; and a hi-jack, siege or riot; and a disruption to an essential service.",53,EM Act 2013
Major emergency,"the EM Act 2013 defines a major emergency as: a large or complex emergency (however caused) which - has the potential to cause or is causing loss of life and extensive damage to property, infrastructure or the environment; or has the potential to have or is having significant adverse consequences for the Victorian community or a part of the Victorian community; or requires the involvement of two or more agencies to respond to the emergency; or a Class 1 emergency; or a Class 2 emergency.",53,EM Act 2013
Class 1 emergency,"the EM Act 2013 defines a Class 1 emergency as: a major fire; or any other major emergency for which Fire Rescue Victoria, the Country Fire Authority or the Victoria State Emergency Service Authority is the control agency under the state emergency management plan.",53,EM Act 2013
Class 2 emergency,"the EM Act 2013 defines a Class 2 emergency as a major emergency which is not- a Class 1 emergency; or a warlike act or act of terrorism, whether directed at Victoria or a part of Victoria or at any other State or Territory of the Commonwealth; or a hi-jack, siege or riot. For example, a Class 2 emergency includes a heatwave.",53,EM Act 2013
Class 3 emergency,"for the purpose of the SEMP a Class 3 emergency means: a warlike act or act of terrorism, whether directed at Victoria or a part of Victoria or at any other State or Territory of the Commonwealth; or a hi-jack, siege or riot. Class 3 emergencies may also be referred to as security emergencies. Class 3 emergencies are not defined in legislation. Refer to Victoria Police Class 3 Sub-plan for more information.",53,
Effective control,"for the purpose of the SEMP is when all three of the following apply: a control structure appropriate to the emergency is in place controllers are working to their relevant role statement all response decisions are consistent with the State Emergency Management Priorities. Critical risk means - an incident presenting serious risk requiring immediate police attention, or an investigation, or other police activity, where there is a significant escalation of risk which requires a heightened level of police response and/or command.",53,
Significant Protracted Emergency Event (SPEE),"is a significant, protracted event that necessitates a state-wide resourcing commitment to provide both an appropriate police response and mitigate the risk of fatigue on local resources. A SPEE may also include operational events as determined by Executive Command.",53,
Significant Security Event (SSE),"is an emergency or event that has the potential for significant loss of life or threat to life. An SSE includes but is not limited to: active shooter/active armed offender suicide bomber chemical, radiological or biological threat hostile vehicle threat/attack. Scope and application This policy applies to all members. The table in section 9.1 of this policy outlines when and where PSOs may be deployed. In addition, PSOs should refer to VPM Protective services officers - duties and responsibilities for further information specific to their powers.",53,
Epidemic,a sudden increase in the incidence of a disease affecting a large number of people and spreading over a large area.,56,
Influenza,"a viral disease that causes high fever, sore throat, cough, and muscle aches. It usually affects the respiratory system but sometimes affects other organs. It is spread by infectious droplets that are coughed or sneezed into the air. These droplets can land on the mucous membranes of the eyes or mouth or be inhaled into the lungs of another person. Infection can also occur from contact with surfaces contaminated with infectious droplets and respiratory secretions.",56,
Pandemic,world-wide epidemic of an infectious disease and is generally associated with an influenza strain.,56,
Pandemic Influenza,a global outbreak of a new strain of human influenza spreading rapidly from person-to-person when few if any people have immunity to the new strain.,56,
Seasonal Influenza,the annual outbreak experienced in most countries during the winter months.,56,
Work Area,"A work area is decided upon by senior management and may refer to a range of options including but not limited to: region, station; police service area (PSA); department; unit; branch; cluster.",56,
Agreement,"means the Victoria Police (Police Officers, Protective Services Officers, Police Reservists and Police Recruits) Enterprise Agreement 2025 or its successor(s).",57,
Application,"completed documents that meet all the requirements as part of the selection process submitted to the Transfer and Promotion Unit (TPU), Recruitment and Deployment Division (RDD), Human Resources Command (HRC).",57,
Ballot,"a process whereby positions that have been accorded special category status, for which there are no Expression of Interests (EOIs), are filled by ballot with eligible newly confirmed constables and transferred by direction.",57,
Chairperson General Duties Allocation Committee (GDAC),"the Superintendent, RDD, HRC.",57,
Change of work location,the placement of a member up to the rank of senior sergeant at a new work location within the member's existing region/command/department.,57,
Commissioned Officer,includes a sworn member Inspector to Commander,57,
Confirmation,confers a member from probationary constable to constable after successful completion of the probationary period.,57,
Diversity,"includes, but is not limited to gender identity, sexual orientation, ethnicity, language, faith, ability, age, socioeconomic status, background, life experiences, and beliefs.",57,
Efficiency,"whether it relates to promotion, transfer or rotation includes: the aptitude and special qualifications necessary for the discharge of the duties of the position in question, together with merit, diligence, good conduct, quality of service, mental capacity, and physical fitness in relation to the ranks of inspector to commander - the aptitude and special qualifications necessary for the discharge of the duties of the position in question, together with merit, diligence, good conduct, quality of service, mental capacity and physical fitness and the potential to develop the executive ability, leadership, and management skills essential in senior executive positions",57,
Equality,"means equal rights, opportunities, responsibilities, and outcomes are afforded to all people irrespective of their personal characteristics, circumstances, or background.",57,
Expression of Interest (EOI),a process which does not involve advertisement of a vacancy or merit selection used to fill positions as per the Agreement.,57,
Extended Absence,an absence from Victoria Police for a continuous period of more than 12 months.,57,
Gazette,Official fortnightly publication containing personnel notices.,57,
General Duties Allocation Committee,"the GDAC is comprised of the Superintendent, RDD, HRC (Chairperson), the Inspector, Police Diploma Management, PDC and the divisional superintendent of the location(s) nominated for ballot.",57,
General duties positions,"includes policing positions located within the regions, Transit and Public Safety Command (TPSC).",57,
Holding position,a designated position created to hold a member who is unattached from their substantive (owned) position. Members in holding positions remain the responsibility of the relevant region/command/department.,57,
HR Assist,the electronic human resource management system.,57,
Key Selection Criteria (KSC),"a description of the knowledge, skills, and aptitudes essential to perform the duties of the position, used as an instrument to measure candidate suitability.",57,
Member,"unless otherwise stated, includes: Police Officers appointed under Part 3, Division 5 of the Victoria Police Act 2013 (the Act) Police Recruits appointed under Part 3, Division 6 of the Act Protective Services Officers appointed under Part 3, Division 7 of the Act Police Reservists.",57,Victoria Police Act 2013
Merit,Employment decisions will be assessed as being merit-based when they comply with the Standard for Merit in Employment defined by the Victorian Public Sector Commission (VPSC).,57,
Natural justice,Elements of natural justice include: decision makers act objectively and without bias. the process and outcome must be as timely as reasonably possible. the police members are informed of the reasons for the proposal and decision which affects them. the police members are afforded the opportunity to present their case and provided with a reasonable opportunity to respond to all matters raised which have a reasonable bearing on the matter. all relevant information and evidence provided by a police member will be taken into consideration before a decision is made.,57,
Position Description,"is the documentation which outlines the duties, qualifications, key selection criteria, rank, and additional requirements for a position.",57,
Position Profile,is a document prepared by the relevant region / command / department for a specific position to assist applicants in demonstrating their aptitude for that position.,57,
Pressing Necessity,is a situation which is unplanned; an emergency; the member's presence is vital; and no other alternative arrangements can be made.,57,
Priority Positions,metropolitan positions identified by GDAC for urgent filling where there are no EOIs from confirmed constables or senior constables.,57,
Priority Status,is attached to probationary constables who have undertaken a country placement and probationary constables who own a priority position.,57,
Probation,a defined period of time following appointment to a position during which a member must demonstrate continued suitability.,57,
Promotion,where a member attains a position at a higher rank.,57,
Qualifications,mandatory requirements necessary to perform the duties of a position.,57,
Rank,means a rank prescribed by s 13 of the Act (police officers) or cl 10 of the Victoria Police Regulations 2014 (the Regulations) (PSOs).,57,Victoria Police Regulations 2014
Redeployee,a member who has been referred to redeployment in accordance with clause 15 or 125 of the Agreement.,57,
Special Category Position (SCP),is a status accorded to general duties positions which are difficult to fill.,57,
Sworn Funded Profile,"the number of full-time equivalent members provided by the State Government to Victoria Police and allocated to work locations. Time-in-position -a prescribed minimum period that a member must occupy a position before being eligible to apply for transfer to another position and in some cases, the maximum period a police officer may remain in a position.",57,
Training placement,"placement to an operational work unit undertaken by a probationary constable during the Constables' Course and may include placements at areas such as Road Policing Drug and Alcohol Section, State Highway Patrol, and Driver Training.",57,
Transfer without advertisement,any movement of members from one position to another without going through a formal merit selection process. See VPM Transfers without advertisement.,57,
Un-attachment,the transfer of a member from a funded position to a holding position.,57,
Victoria Police education program,Refer to VPM Pre-promotional assessments and promotional programs for further information. Also refer to the general VPM Dictionary for definitions and acronyms.,57,
Event,"includes police and community events such as international or national conferences, externally organised leadership and professional development programs, sporting events, community engagement events, visits to other policing agencies and award ceremonies.",58,
On Duty,refers to the working hours of employment where an employee is required to report for work to perform duties of their role in accordance with the relevant enterprise agreement. This includes any periods of overtime required by the employer.,58,
Off Duty,"refers to time outside of working hours of employment where an employee is not rostered on and not required to report or perform duties of their role, this includes any period of leave.",58,
Required to attend,refers to instances where a manager has directed an employee to attend an event as part of their duties.,58,
Voluntary attendance,"refers to instances where an employee has elected to attend an event without approval that may broadly relate to their position or duties as an employee of Victoria Police, but it is not a requirement of their position to attend and on duty status has not been granted. An employee may apply to use their leave entitlements to attend the event.",58,
Recategorisation,"the conversion of certain roles or positions, from one employment category to another.",60,
Gender,refers to the way in which a person identifies and/or expresses their sense of self. A person's gender identity or gender expression is not always exclusively male/masculine or female/feminine and may or may not correspond to their sex.,61,
Sex,biological characteristics.,61,
Trans,"A person who identifies their gender as different to what was assumed at birth may consider themselves transgender or trans. A trans person might identify as male or female, or as non-binary.",61,
Gender diverse,An umbrella word for people with diverse or non-conforming gender identities.,61,
Cisgender,"A person's biological sex and gender expression are the same. For example, a person expresses herself as female, and is also biologically female. It relates to the culturally determined gender roles for one's birth at sex (i.e. the biological sex one was born with).",61,
Affirmed gender,"The gender to which one identifies, which may or may not match the individual's gender at birth. Gender affirmation is the physical, legal and social process of transitioning gender. This may include surgery, hormone or other medical treatment, changing name, using different pronouns, and changing gender on identification documentation such as birth certificate,, passport or driver's licence.",61,
Genderqueer,"a person who identifies as not necessarily male, female or viewed in a binary manner. Genderqueer people may identify as masculine, feminine, androgynous, bi gendered or partially male or female in varied ratios. Genderqueer people may be third gendered or reject gender roles altogether. Some Genderqueer people also access medical services to 'transition'.",61,
Intersex,"refers to people who are born with genetic, hormonal or physical sex characteristics that differ from expectations of 'male' or 'female'. Intersex people have a diversity of bodies and identities.",61,
Misgendering,Describing or addressing someone using language that does not match a person's gender identity.,61,
Transition,the period in which a person undergoes a change from living one gender identity to another. This is likely to include learning to live socially in another gender role (social transition) and sometimes includes feminisation or masculinisation of the body through hormones or other medical procedures (medical transition).,61,
Firearm related item,"a part of a firearm, cartridge ammunition, a silencer, an attachment for a firearm, an accessory for a firearm, any other prescribed item related to a firearm (s.112A).",64,
Delegate,police officers or employees who have been authorised in writing as a delegate of the Chief Commissioner under the Act; see Instruments of Delegation FA 2 and FA 4 for the complete list of delegates. Delegates must attend an FPO Delegate Information Session before authorising an FPO.,64,Charter of Human Rights and Responsibilities Act 2006
Local manager,"senior sergeant or above. Pat-down search - involves requiring a person to empty their pockets and/or submit to an external 'pat-down' involving physical contact by a police officer with the outer layer of the person's clothing may involve the removal and examination of headgear, shoes, socks, outer clothing and handbags or other things carried by the person does not include the removal of inner clothing.",64,
Contributor,is a person tasked by a Recommendation Owner or a Final Approver to contribute to the work required to manage and/or implement a recommendation.,65,
Final Approver,is the person responsible for nomination of a Recommendation Owner and overseeing whether the implementation of a recommendation is appropriate. The Final Approver is generally a member of Command (for Internal Audits) or Executive Command (for external reviews).,65,
Internal Audit (IA),"is an independent, objective assurance and advisory activity performed by the Risk and Assurance Division (RAD) Central Assurance Team and designed to add value and improve the organisation's operations.",65,
RAD Central Assurance Team,"is a work unit established to conduct IAs to meet the requirement of Ministerial Standing Direction 3.2.2 of the Minister for Finance 2018, pursuant to s.8, Financial Management Act 1994 (FMA). The RAD Central Assurance Team is accountable to the Chief Commissioner of Police through the Victoria Police Audit and Risk Committee (ARC).",65,Financial Management Act 1994
Recommendation Owner,is the person responsible for completing the implementation of a recommendation.,65,
TeamMate+,is the recommendation tracking system used to manage recommendations that must be recorded (refer to section 3.1 of this policy).,65,
Attendance identity verification,a category of retrospective facial recognition used to assist with the accurate identification of a person in police custody and to identify whether any LEAP warning flags apply to the person.,66,
Biometric,a measurement or physical characteristic that may be used to identify an individual. Biometric information is personal information.,66,
Facial recognition technology,facial recognition technology processes facial biometric information to identify individuals. It takes a variety of forms.,66,
Live facial recognition technology,a category of facial recognition that compares a live camera feed of faces against a watchlist to find a match.,66,
Operator-initiated facial recognition technology,a category of retrospective facial recognition where a member in the field captures a photo of an individual and simultaneously uses a facial recognition tool to process the biometric data captured by the photograph to identify the person.,66,
Retrospective facial recognition technology,"a category of facial recognition technology that involves two steps. The first step is the collection, not necessarily for the purpose of facial recognition, of images and/or dynamic video (i.e., from mobile phone, CCTV etc.) which includes the face of an unknown person. The second step is the use of facial recognition technology to compare the images or video clips against relevant police data holdings (e.g. custody photographs held on LEAP). For example, iFace.",66,
Reviewer,"police performing duties in a specialist role within the Criminal Identification Unit (CIU), Forensic Services Department (FSD), who perform specialised facial recognition and facial comparison tasks using local enterprise (e.g. iFace) access and national systems for intelligence or investigative purposes. Also refer to the general VPM Dictionary for definitions and acronyms.",66,
BWC,Victoria Police issued body worn camera.,67,
DREC,Digitally recorded evidence-in-chief statement captured using a BWC.,67,
Affected family member (AFM),"defined in s.4, Family Violence Protection Act 2008 (FVPA). The family member whose person or property is the subject of an application for an order. Once an intervention order is granted the person is known as the protected person. Used interchangeably to refer to victims of family violence as an intervention order is not always sought or granted.",68,Family Violence Protection Act 2008
Family Violence Report (FVR (L17)),Victoria Police Risk Assessment and Risk Management Report.,68,
Intervention order,"general term to refer to all types of orders; being Family Violence Safety Notices (FVSN), Interim Family Violence Intervention Orders (Interim FVIO) and Final Family Violence Intervention Orders (FVIO).",68,
Options Model,"criminal, civil and referral actions to be considered by police after conducting a risk assessment.",68,
Police member (or member),"any person, excluding VPS employees, employed by Victoria Police in accordance with s.7, Victoria Police Act 2013. This means police officer, protective services officer (PSO), recruit, and reservist except where an instruction specifically states otherwise. However, any authority or responsibility may only be exercised within the limits of the duties of the position and their legal authorities and responsibilities.",68,Victoria Police Act 2013
Primary aggressor,"the party to the family violence incident who, by their actions in the incident and through known history and actions, has caused the most physical harm, fear and intimidation against the other.",68,
Respondent,"defined in s.4, FVPA. The person against whom an application for, or actual intervention order has been, made or issued. Used interchangeably to refer to a perpetrator of family violence as an intervention order is not always sought or granted.",68,Family Violence Protection Act 2008
Victoria Police employees,"all Victoria Police personnel, including police members, reservists, PSOs, recruits and VPS employees.",68,
Victorian Public Service (VPS) employees,"any person employed by Victoria Police, including police custody officers (PCOs) in accordance with the Public Administration Act 2004.",68,Public Administration Act 2004
Affected family member (AFM),"defined in s.4, FVPA. The family member whose person or property is the subject of an application for an order. Once an intervention order is granted the person is known as the protected person. Used interchangeably to refer to victims of family violence as an intervention order is not always sought or granted.",69,Family Violence Protection Act 2008
Family member,"defined in s.8, FVPA and in relation to a person means any of the following: a person who is, or has been, the spouse or domestic partner of that person a person who has, or has had, an intimate personal relationship with that person a person who is, or has been, a relative of that person. This includes brothers, sisters, aunts, uncles, cousins, nephews, nieces, and in-laws a child who normally or regularly resides with that person or has previously resided with that person on a normal or regular basis a child of whom that person is a guardian a child of a person who has, or has had, an intimate personal relationship with that person any other person who the person regards as being like a family member having regard to the circumstances of the relationship as outlined in s.8(3), FVPA.",69,Family Violence Protection Act 2008
Intervention order,"general term to refer to all types of orders; being Family Violence Safety Notices (FVSN), Interim Family Violence Intervention Orders (Interim FVIO) and Final Family Violence Intervention Orders (FVIO).",69,
Respondent,"defined in s.4, FVPA. The person against whom an application for or actual intervention order has been made or issued.",69,Family Violence Protection Act 2008
Alleged perpetrator,A person who is alleged to pose a risk of committing family violence.,70,
Child,"A person who is under the age of 18 years, or An unborn child that is the subject of a report made under s.29 or a referral under s.32, Children, Youth and Families Act 2005 (CYFA).",70,Youth and Families Act 2005
Excluded information,"Information which may not be shared under the schemes (this includes s.144C, Family Violence Protection Act 2008 (FVPA); s.41Q, Child Wellbeing and Safety Act 2005 (CWSA)).",70,Child Wellbeing and Safety Act 2005; Family Violence Protection Act 2008
Inter-Agency Information Sharing Service (IISS),The IISS is a team in the Police Enquiry and Data Sharing Department (PEDS) that responds to requests for information under the FVIS and CIS schemes. IISS is also responsible for maintaining mandatory record keeping for all requests made to Victoria Police under the schemes.,70,
Information Sharing Entity (ISE),"An ISE is prescribed by regulation (an ISE can be a person or body prescribed, or a class of person or body prescribed).",70,
Parent/guardian,"A person who has responsibility for the long-term welfare of the child and has, in relation to the child, all the parental powers, rights and duties that are vested by law or custom in the guardianship of a child and a person with whom the child normally or regularly resides.",70,
Perpetrator,"Has the same meaning as a person of concern (s.144B, FVPA). A person is a perpetrator if an ISE reasonably believes that there is a risk that the person may commit family violence.",70,Family Violence Protection Act 2008
Protection purpose,The purpose of managing a risk of a person committing family violence or a person being subjected to family violence (including ongoing assessment of both).,70,
Reasonable belief threshold,A reasonable belief requires the existence of facts that are sufficient to induce the belief in a reasonable person. Belief requires something more than suspicion.,70,
Risk assessment entity (RAE),A RAE is a certain ISE prescribed under the FVIS scheme that is authorised to request information for a family violence risk assessment purpose.,70,
Risk assessment purpose,The purpose of establishing or assessing the risk of a person committing family violence or a person being subjected to family violence.,70,
Third party,"Has the same meaning as a linked person (s.144A, FVPA). Any person whose confidential information is relevant to a family violence risk assessment purpose or family violence protection purpose, other than a person who is a victim, a perpetrator or an alleged perpetrator.",70,Family Violence Protection Act 2008
Victim (victim survivor),"Has the same meaning as a primary person (s.144E, FVPA). A person is a victim if an ISE reasonably believes there is risk that the person may be subjected to family violence.",70,Family Violence Protection Act 2008
Gel blaster,a type of imitation firearm that is designed to discharge a water gel ball or similar projectile and that has an appearance which could reasonably be mistaken for that of an operable firearm.,72,
High risk firearm,"as defined by the Australian Ballistic Information Network - all handguns, sawn off longarms or self-loading firearms (semi-automatic or machine guns).",72,
Improvised firearm,an object not originally manufactured as a firearm that has been adapted or modified in an attempt to make it capable of discharging a projectile.,72,
DNA profile sample,"a sample taken for the purpose of deriving a DNA profile that is (s.464(2)): a mouth scraping a blood sample a sample of saliva a sample of hair, other than pubic hair, including the root if required.",73,
DNA sample offence,any indictable offence specified in Schedule 9 of the Crimes Act and applicable only to a child of or above the age of 15 years but under the age of 18 years.,73,
Forensic procedure,"means the taking of a sample from any part of the body, whether an intimate or non-intimate sample or any other type of sample, or the conduct of any procedure on or physical examination of the body, but does not include the taking of a fingerprint or a DNA profile sample. Non-intimate sample means: a sample of hair, other than pubic hair, including the root if required a sample of matter taken from under a fingernail or toenail a swab, washing or sample taken from any external part of the body other than the genital or anal region of a male or female or the breast of a female. Intimate sample means: a sample of saliva a mouth scraping a sample of blood a dental impression a sample of pubic hair, including the root if required a body swab or sample from external genital/anal region and female breast area. Compulsory procedure means the taking of an intimate or non-intimate sample or the conduct of a physical examination. DNA profile sample means a sample taken for the purpose of deriving a DNA profile that is: a blood sample a sample of hair, other than pubic hair, including the root if required a sample of saliva a scraping taken from the mouth. Refer to VPM DNA profile samples for policy and procedures on taking DNA profile samples",75,
Contamination,"when foreign trace evidence, data or information has been introduced to an exhibit inadvertently during collection, preservation, handling or analysis.",76,
Exhibit,"for the purpose of this policy, an exhibit is physical or digital material of any description that is obtained during the investigation and may be subjected to forensic testing, examination, analysis or interpretation.",76,
Forensic Portal,an application that provides an interface between the member requesting a forensic service and the forensic service provider. Available only on the intranet.,76,
Submitting member,"employee responsible for submitting a request via the Forensic Portal. This includes investigators, CSOs and property officers.",76,
Trace evidence,"material that can be transferred between objects e.g., gunshot residue, fibres, paint, glass, hairs, botanical material, DNA and explosive residues.",76,
Vetting and triage,"the process of receiving, assessing and coordinating exhibit examination requests.",76,
Accountable Officer,a member of Executive Command (ExComm) who has governance accountability for a subject area.,77,
Foreign arrangement,"an arrangement between a state/territory entity and a foreign entity, whether or not other entities are also a party to the arrangement. It includes arrangements, agreements, contracts, MOUs and undertakings, whether or not legally binding.",77,
Core foreign arrangement,"an arrangement with a foreign country and foreign national governments, departments and agencies.",77,
Non-core foreign arrangement,"an arrangement with a foreign subnational jurisdiction/government/department/agency, foreign authorities established for a public purpose, and foreign universities without institutional autonomy.",77,
Foreign entity,"includes a foreign country and any entity external to Australia. Note: does not include a corporation that operates on a commercial basis. Refer to s.8 (1), Australia's Foreign Relations (State and Territory Arrangements) Act 2020 for the full definition.",77,
Memorandum of Understanding (MOU),"is commonly used when entering into formal arrangements with government or statutory organisations. It is generally made in good faith and is not intended to be legally binding. Such arrangements may also be known as an interagency agreement, protocol etc.",77,
Policy Owner,"Assistant Commissioner, Executive Director, Commander or Director responsible for undertaking or coordinating the day-to-day business relating to a policy subject area, including ensuring the provision of policy advice, and reviewing, implementing and monitoring policy. Refer to VPM Policy development and advice for additional guidance.",77,
Closed circuit television (CCTV),a television system in which broadcasts are not publicly distributed but are monitored for surveillance and/or security purposes.,85,
Digital Asset,"audio recordings, still images, video and/or audio files that have been generated by a RD. Other types of digital assets are not included in this policy.",85,
Non-rewritable media,"storage media on which data cannot be overwritten (e.g., CD-/+R, DVD-/+R).",85,
Original copy,"the first instance in which images and/or audio is recorded on to non-rewritable media, preferably directly generated from the primary source, obtained by police.",85,
Recording device,"any device capable of, and used to, generate digital assets, such as digital imagery (e.g., footage and still images), audio-visual and/or audio files. RDs include, but are not limited to: mobile phones portable or personal computing devices video or still cameras (tripod/equipment mounted or handheld) audio recorders (digital or analogue) CCTV (including mobile CCTV trailers).",85,
Primary source,"the system or device that the digital asset was originally generated by. This may be a RD, the physical box containing recording equipment that is installed at a site (such as a business, local council or station) or an email/website that allows Victoria Police to obtain the digital asset.",85,
Register,"an auditable register that keeps a record of the copies of the digital asset. This may be the correspondence register, digital register or a separate register that meets the minimum standards outlined in the Closed Circuit Television Practice Guide.",85,
Working copy,any copy produced from the original for the purpose of converting and editing.,85,
Victoria Police device,"a piece of information technology (IT) equipment owned and issued by Victoria Police and used by any person to carry out their duties and functions, including but not limited to smart phones, tablets, laptops and desktop computers.",86,
Personal device,a piece of IT equipment that is not owned and issued by Victoria Police.,86,
Legitimate business reason,means a lawful and valid need to install or access the restricted application on a Victoria Police device to conduct Victoria Police business and/or achieve a work objective of Victoria Police.,86,
Personally identifiable information,"information that, when used alone or with other relevant information, can identify a person.",86,
Restricted applications,"web-based and software applications identified by Victoria Police as potentially malicious and should not be accessed, installed or used on a Victoria Police device. Restricted applications are listed in Appendix A.",86,
Stand-alone device,refers to a device that does not have the Victoria Police managed image on it and is not connected to the Victoria Police network. Also refer to the general VPM Dictionary for definitions and acronyms.,86,
Information reports (IR),"reports that contain information that may have value for intelligence but are not otherwise recorded in Victoria Police IT systems. The information in IRs can contain opinions, observations or hearsay relating to any subject, and need not be of an evidentiary standard. IRs may provide insight into suspicious behaviour, trends or issues that may require further investigation or assist future investigations.",87,
Intelligence,"a reported assessment of an issue, which is produced through a process of collection, collation and analysis of available information. Intelligence in Victoria Police is produced when available data and information is analysed and contextualised to provide insights into crime, counter terrorism, road trauma, family violence, public order and safety issues to support decision-makers.",87,
Intelligence manager,a person who is in charge of or manages an intelligence unit.,87,
Intelligence practitioner,"an employee who has completed Victoria Police's intelligence practitioners course or equivalent and is working in an intelligence role, whether in an intelligence unit or attached to other units in an intelligence capacity. (e.g. Tactical Intelligence Officers)",87,
