term,definition_count,register_ids_by_definition
Person in police custody,3,"129/131|a person in police custody who is yet to be formally lodged in a detention facility and they are either: under lawful arrest by warrant under lawful arrest under s.458 or s.459, Crimes Act 1958 apprehended in the company of a member and being questioned or otherwise investigated for an offence, as defined by s.464(1), Crimes Act on remand or serving a sentence of imprisonment.; 210|a person in police custody who is yet to be formally lodged in a detention facility and they are under lawful arrest by warrant, under lawful arrest under s.458 or s.459, Crimes Act 1958, apprehended, in the company of a member and being questioned or otherwise investigated for an offence, as defined by s.464(1), Crimes Act, or on remand or serving a sentence of imprisonment.; 237/249|a person in police custody who is yet to be formally lodged in a detention facility and they are under lawful arrest by warrant, under lawful arrest under s. 458 or s. 459, Crimes Act 1958, apprehended, in the company of a member and being questioned or otherwise investigated for an offence, as defined by s. 464(1), Crimes Act, or on remand or serving a sentence of imprisonment."
Police Custody Officer (PCO),9,"2|a person employed under Part 4, Victorian Public Service Enterprise Agreement 2024 (VPS Agreement) and acting under s.200D or s.200AC, Victoria Police Act.; 45|for the purpose of this policy, a PCO refers to both supervising police custody officers and police custody officers.; 129/237|a VPS employee authorised under s. 200D of the Victoria Police Act 2013 who can exercise their powers pursuant to s. 9A of the Corrections Act 1986 at nominated police gaols. A reference to PCO includes Supervising PCO (SPCO).; 131|a VPS employee authorised under s.200D, Victoria Police Act 2013 who can exercise their powers pursuant to s.9A, Corrections Act 1986 at nominated police gaols. A reference to PCO includes Supervising PCO (SPCO).; 132|a VPS employee authorised under s.200D, Victoria Police Act 2013.; 205/206|a VPS employee authorised under s 200D of the Victoria Police Act 2013 who can exercise their powers pursuant to s 9A of the Corrections Act 1986 at nominated police gaols. A reference to PCO includes Supervising PCO (SPCO).; 210|a VPS employee authorised under s. 200D of the Victoria Police Act who can exercise their powers pursuant to s.9A of the Corrections Act 1986 at nominated police gaols. A reference to PCO includes Supervising PCO (SPCO).; 216|for the purpose of this Practice Guide, a PCO refers to both supervising police custody officers and police custody officers.; 249|a VPS employee authorised under s. 200D of the Victoria Police Act 2013 who can exercise their powers pursuant to s. 9A of the Corrections Act at nominated police gaols. A reference to a PCO includes a Supervising PCO (SPCO)."
Police facilities,4,"129|property owned or occupied by Victoria Police. For example, a police station or alcohol and drug testing vehicle (Booze Bus). This excludes railway station PSO pods and spaces occupied by Victoria Police on a temporary or ad hoc basis.; 131|property owned or occupied by Victoria Police. For example, a police station or alcohol and drug testing vehicle (Booze Bus). This excludes railway station PSO pods and spaces occupied by Victoria Police on a temporary or ad-hoc basis.; 203|property owned or occupied by Victoria Police. For example, a police station, alcohol and drug testing vehicle (Booze Bus). This excludes railway station Protective Service Officer (PSO) pods and spaces occupied by Victoria Police on a temporary or ad hoc basis.; 237|property owned or occupied by Victoria Police. For example, a police station, alcohol and drug testing vehicle (Booze Bus). This excludes railway station PSO pods and spaces occupied by Victoria Police on a temporary or ad hoc basis."
Police gaol,2,"129|an area within a police facility where an Order from Governor in Council has been published in the Government Gazette pursuant to s.11 of the Corrections Act. This will generally be accompanied with a floor plan, a maximum duration a detainee can be held at the facility and the maximum number of people who can be held in the facility. Not all locations on the Register of Detention Facilities are police gaols; advice on police gaol status can be obtained from Custody Operations and Logistics.; 131|an area within a police facility where an Order from Governor in Council has been published in the Government Gazette pursuant to s.11, Corrections Act. This will generally be accompanied with a floor plan, a maximum duration a detainee can be held at the facility, and the maximum number of people who can be held in the facility. Not all locations on the Register of Detention Facilities are police gaols; advice on police gaol status can be obtained from Custody Operations and Logistics."
Police member,2,"12|any employee, excluding VPS employees, employed by Victoria Police in accordance with s.7, the Act. This means police officer, protective services officer (PSO), recruit, and reservist.; 171|includes police employees on executive officer contracts and employees whose terms and conditions of employment are subject to Victoria Police (Police Officers, Protective Services Officers, Police Reservists and Police Recruits) Enterprise Agreement 2025 or any successor enterprise agreement."
Police member (or member),2,"15|Any employee, excluding VPS employees, employed by Victoria Police in accordance with s.7, the Act. This means police officer, protective services officer, recruit, and reservist.; 68|any person, excluding VPS employees, employed by Victoria Police in accordance with s.7, Victoria Police Act 2013. This means police officer, protective services officer (PSO), recruit, and reservist except where an instruction specifically states otherwise. However, any authority or responsibility may only be exercised within the limits of the duties of the position and their legal authorities and responsibilities."
Primary response,2,"118|duties that involve general patrolling, public order management and/or where providing a first response to incidents is likely or expected (e.g. divisional van, patrol car, highway patrol, patrol supervisors (251), members on availability to perform first response to incidents, attendance at sporting or community events).; 125|duties that involve general patrolling, public order management and/or where providing a first response to incidents is likely or expected (e.g. Divisional Van, Patrol Car, Highway Patrol, Patrol Supervisors, members on availability to perform first response to incidents, attendance at sporting or community events)."
Property,2,"145|defined in s.3, the Act. Real or personal property of every description, whether situated within or outside Victoria and whether tangible or intangible and includes any interest in any such real or personal property.; 147|an item of any description, whether situated within or outside Victoria and whether tangible or intangible that is in police possession for the purpose of investigation or as a result of surrender or seizure. This includes any interest in any such real or personal property as defined in the Confiscations Act 1997."
Recording device,2,"85|any device capable of, and used to, generate digital assets, such as digital imagery (e.g., footage and still images), audio-visual and/or audio files. RDs include, but are not limited to: mobile phones portable or personal computing devices video or still cameras (tripod/equipment mounted or handheld) audio recorders (digital or analogue) CCTV (including mobile CCTV trailers).; 209|any device capable of, and used to, generate digital assets, such as video and still images, audio-visual and/or audio files. RDs include, but are not limited to: mobile phones portable or personal computing devices video or still cameras (equipment mounted or handheld) audio recorders (digital or analogue) CCTV (including mobile CCTV trailers)."
Register,2,"85|an auditable register that keeps a record of the copies of the digital asset. This may be the correspondence register, digital register or a separate register that meets the minimum standards outlined in the Closed Circuit Television Practice Guide.; 209|an auditable register that keeps a record of the copies of the digital asset. This may be the correspondence register, digital register or a separate register that meets the minimum standards (as outlined in this Practice Guide)."
Registrable offender,2,"115|refers to an offender whom a court has sentenced for a registrable offence (as per s. 6, SORA).; 116|as defined under section 6 of the Sex Offenders Registration Act 2004"
Respondent,3,"68|defined in s.4, FVPA. The person against whom an application for, or actual intervention order has been, made or issued. Used interchangeably to refer to a perpetrator of family violence as an intervention order is not always sought or granted.; 69|defined in s.4, FVPA. The person against whom an application for or actual intervention order has been made or issued.; 174|The person whose behaviour has been observed or complained about as being inappropriate."
Risk,3,"40|The degree of likelihood of a threat being carried out based upon the capability and intent of the originator of the threat, and the degree of physical, financial or psychological harm that may be caused if such a threat were to be actioned.; 89|The belief that violence, intimidation or harassment will be attempted or applied to a custodial witness in an effort to prevent such person giving evidence or information of a serious crime, or retribution for providing such evidence.; 259|effect of uncertainty on objectives."
Secondary response,2,"118|duties where members may be required to provide supervision, back-up or specialist capabilities for incidents but do not provide a primary response other than as back-up to primary response units (e.g., divisional patrol supervisor (265), duty officer (150), PACER units, dog squad, crime scene or other similar specialist or investigative units).; 125|duties where members may be required to provide supervision, back-up or specialist capabilities for incidents but do not provide a primary response other than as back-up to primary response units (e.g., Divisional Patrol Supervisor, Duty Officer, PACER units, Dog Squad, Crime Scene or other similar specialist or investigative units)."
Serious crime,2,"26|an offence (including an attempt) resulting from: Schedule 1, Sentencing Act 1991, offences such as sexual offences, violent offences, drug offences and arson offences driving offences under the Crimes Act 1958 i.e., culpable driving causing death offences under the Road Safety Act 1986 i.e., fail to stop after collision (death/serious injury) terrorism offences the value associated with the offending in accordance with Schedule 1A, Sentencing Act ($50,000 or more), or prior criminal history of the accused; 147|an offence (including an attempt) resulting from a Category 1 or Category 2 incident as identified by the Accountability & Resource Model (ARM) or otherwise determined by the Investigation & Response Inspector."
Serious illness,2,"42|an illness that requires the person to be admitted to hospital while the person was in the care or custody of an employee. This does not include where the person is admitted to hospital solely under s. 242, the Mental Health and Wellbeing Act 2022.; 131|an illness that requires a person to be admitted to hospital while the person was in the care or custody of a member or PCO. This does not include where the person is admitted to hospital solely under s.232, Mental Health and Wellbeing Act."
Serious injury,4,"2|as defined by s.82, Victoria Police Act includes an injury that: is life threatening, or is likely to result in permanent impairment, or is likely to require long term rehabilitation, or is in the opinion of the Chief Commissioner, of such a nature, or occurred in such circumstances that the infliction of it is likely to bring Victoria Police into disrepute or diminish public confidence in Victoria Police.; 11|as per s.82, the Act, includes any injury that is either: life threatening likely to result in permanent impairment likely to require long term rehabilitation in the opinion of the Chief Commissioner, of such nature, or occurred in such circumstances, that the infliction of it is likely to bring Victoria Police into disrepute or diminish public confidence in Victoria Police.; 131/42|an injury that is life threatening, likely to result in permanent impairment or likely to require long-term rehabilitation.; 254|An injury (including the cumulative effect of more than one injury) that endangers life; or is substantial and protracted; or the destruction, other than in the course of a medical procedure, of the foetus of a pregnant woman, whether or not the woman suffers any other harm (Crimes Act)"
Sex,3,"61|biological characteristics.; 197|Biological characteristics.; 207|conventionally assigned at birth based on biological characteristics. A person's sex is usually described as being either male or female. Some people may have both male and female characteristics, or neither male nor female characteristics, or other sexual characteristics."
Sexual orientation,2,"30|a person's emotional, affectional and sexual attraction to, or intimate or sexual relations with, persons of a different gender or the same gender or more than one gender (s.4, Equal Opportunity Act).; 254|A person's emotional, affectional and sexual attraction to, or intimate or sexual relations with, persons of a different gender or the same gender or more than one gender"
Subject member,2,12|a police member who is the subject of an investigation into a complaint.; 15|the police member who is the subject of the complaint and any subsequent related disciplinary process.
Unconscious bias,2,"197|The attitudes or stereotypes that impact upon understanding, actions, and decisions in an unconscious manner. An individual can be consciously committed to equality but still make discriminatory decisions unconsciously.; 207|the attitudes or stereotypes that impact upon understanding, actions, and decisions in an unconscious manner. An individual can be consciously committed to equality but still make discriminatory decisions unconsciously."
Unjustifiable hardship,2,172|A term used in the Disability Discrimination Act 1992 which describes how to determine whether an adjustment is reasonable.; 264|A term used in the Disability Discrimination Act 1992 which describes how to determine whether an adjustment is reasonable. Responsibilities and procedures
Victorian Public Service (VPS) employee,2,"2|means a person employed in Victoria Police under Part 3, Public Administration Act 2004. For the purposes of this policy, police custody officers (PCOs) are not included in this definition. For further definitions, refer to the VPM Dictionary.; 171|means an employee of Victoria Police whose employment is covered by the Victorian Public Service Enterprise Agreement 2024 or any successor enterprise agreement (including Police Custody Officers and Forensic Officers), or an executive employee of Victoria Police covered by an executive contract of employment."
Voluntary attendance,2,"58|refers to instances where an employee has elected to attend an event without approval that may broadly relate to their position or duties as an employee of Victoria Police, but it is not a requirement of their position to attend and on duty status has not been granted. An employee may apply to use their leave entitlements to attend the event.; 168|refers to instances where an employee has elected to attend an event without approval that may broadly relate to their position or duties as an employee of Victoria Police, but it is not a requirement of their position to attend and on duty status has not been granted."
Vulnerable adult,2,"45|as defined by s.3AAAA, Bail Act is a person of 18 years of age or more and has a cognitive, physical or mental impairment that causes the person to have a difficulty with any of the following: understanding their rights making a decision communicating a decision.; 196/215/216|as defined by s.3AAAA, Bail Act is a person 18 years of age or more and has a cognitive, physical or mental impairment that causes the person to have a difficulty with any of the following: understanding their rights making a decision communicating a decision. A bail decision maker may reasonably suspect that a person is a vulnerable adult if they cannot identify the particular impairment."
Work Area,2,"56|A work area is decided upon by senior management and may refer to a range of options including but not limited to: region, station; police service area (PSA); department; unit; branch; cluster.; 171|a work area may refer to any of the following: region, department, division, police service area (PSA), cluster, station, unit or branch."
Workplace,3,"110|a place, whether or not in a building or structure where employees or self-employed persons work, including any location where work duties are undertaken.; 171|a workplace is the location where work duties are undertaken.; 260|Where employees work and where management of physical, financial and/or human resources (which includes sworn personnel, Victoria Public Service employees (VPS) or a combination of both), is required."
Workplace Inspection,2,"259|A critical examination of management and workplace processes and controls to: validate efficiency and effectiveness report the accuracy of workplace records (electronic or otherwise) and identify remedial action to be taken, the party responsible for that action and the timelines for that action to occur.; 260|A critical and objective examination of management and workplace processes and controls to: validate the integrity, efficiency, and effectiveness of both organisational and work unit governance systems report the accuracy of workplace records (electronic or otherwise); and identify remedial action to be taken, the specific person responsible for that action, and the timelines for that action to occur."
